sample	reason(s)	avg_depth	rHetHom	call_rate	nSingletons	CHARR
gonl-120b	low_cov	13.8	1.71429	0.998889	0	nan
gonl-122b	low_cov;high_rHetHom	13.9	6.5	0.998962	0	nan
gonl-123b	low_cov;high_rHetHom	11.2	5.5	0.998358	0	nan
gonl-124b	low_cov	14.3	NA	0.999421	0	nan
gonl-125b	low_cov	13.5	2.6	0.99901	0	nan
gonl-126b	low_cov;high_rHetHom	14.6	5	0.999082	0	nan
gonl-127b	low_cov	12	NA	0.998575	0	nan
gonl-128b	low_cov	11.9	0.111111	0.998527	0	nan
gonl-129b	low_cov;high_rHetHom	13.3	5	0.998913	0	nan
gonl-130b	low_cov	14.2	0.111111	0.998938	0	nan
gonl-131b	low_cov	13	2.75	0.998503	0	nan
gonl-134b	high_rHetHom	16.5	14	0.999227	1	nan
gonl-136b	low_cov	13.5	0.444444	0.99901	1	nan
gonl-137b	low_cov	13.8	0.125	0.998962	0	nan
gonl-138b	low_cov	13	0.090909	0.998962	0	nan
gonl-139b	low_cov;high_rHetHom	11	6	0.99831	0	nan
gonl-141b	high_rHetHom	15.4	5.33333	0.999131	0	nan
gonl-142b	low_cov	12.9	2.8	0.999034	0	nan
gonl-143b	low_cov	14.7	0	0.999203	0	nan
gonl-144b	high_rHetHom	17.6	8	0.999396	0	nan
gonl-145b	low_cov	11.8	NA	0.998406	1	nan
gonl-146b	low_cov	13.8	0.285714	0.999058	0	nan
gonl-147b	low_cov	12.2	1.83333	0.998455	1	nan
gonl-148b	low_cov	10.1	NA	0.997972	0	nan
gonl-149b	low_cov;high_rHetHom	14.4	3.5	0.999251	0	nan
gonl-150b	high_rHetHom	15.1	6.75	0.998986	1	nan
gonl-151b	low_cov	11.9	NA	0.998334	0	nan
gonl-152b	low_cov	11.4	1.8	0.998189	0	nan
gonl-153b	low_cov	12.8	NA	0.998817	0	nan
gonl-154b	low_cov;high_rHetHom	12.6	4	0.998889	0	nan
gonl-155b	low_cov	14.2	3.2	0.999179	0	nan
gonl-156b	high_rHetHom	16.5	9	0.999058	0	nan
gonl-157b	low_cov	14.5	0.375	0.999107	0	nan
gonl-158b	low_cov	11.6	NA	0.998479	0	nan
gonl-160b	low_cov	11.9	NA	0.998793	0	nan
gonl-161b	high_rHetHom	17.7	4.8	0.999251	0	nan
gonl-162b	low_cov	12.2	0	0.998793	0	nan
gonl-163b	low_cov	13.9	1.41667	0.998986	0	nan
gonl-164b	low_cov;high_rHetHom	14	14.5	0.998938	0	nan
gonl-165b	low_cov	14	NA	0.999082	0	nan
gonl-166b	low_cov	12.6	3	0.998769	0	nan
gonl-167b	low_cov;high_rHetHom	12.9	6.33333	0.998938	0	nan
gonl-168b	low_cov	12	NA	0.998648	0	nan
gonl-169b	low_cov;high_rHetHom	14.2	4.33333	0.998527	0	nan
gonl-170b	high_rHetHom	16.7	7.5	0.999203	1	nan
gonl-171b	low_cov	11.7	NA	0.998479	0	nan
gonl-172b	high_rHetHom	19.9	7.5	0.999348	0	nan
gonl-173b	low_cov	11.6	0	0.998575	0	nan
gonl-174b	high_rHetHom	15.6	6.25	0.999107	0	nan
gonl-175b	low_cov	13.2	NA	0.998744	0	nan
gonl-176b	low_cov;high_rHetHom	13.3	7.66667	0.99872	0	nan
gonl-177b	low_cov	11.6	2.4	0.998334	0	nan
gonl-178b	low_cov	12	NA	0.998769	0	nan
gonl-179b	high_rHetHom	16.3	6.5	0.999251	0	nan
gonl-180b	high_rHetHom	15.1	5.75	0.998841	0	nan
gonl-181b	high_rHetHom	15.2	8	0.998986	0	nan
gonl-183b	low_cov	13.7	NA	0.999058	0	nan
gonl-184b	high_rHetHom	16	5.8	0.999203	0	nan
gonl-186b	low_cov	13.9	2.2	0.998841	0	nan
gonl-187b	high_rHetHom	15.5	7.5	0.999372	0	nan
gonl-188b	low_cov;high_rHetHom	11.9	7.66667	0.998575	0	nan
gonl-189b	high_rHetHom	15.3	3.57143	0.999179	0	nan
gonl-191b	low_cov	12.7	NA	0.998744	1	nan
gonl-192b	low_cov	13.5	0.1	0.998889	0	nan
gonl-193b	low_cov;high_rHetHom	12.2	5.66667	0.998769	1	nan
gonl-194b	low_cov;high_rHetHom	14.9	5.75	0.999107	0	nan
gonl-195b	low_cov;high_rHetHom	13.1	4.25	0.998986	1	nan
gonl-196b	low_cov;high_rHetHom	14	11.5	0.998962	0	nan
gonl-197b	low_cov;high_rHetHom	13.6	5.75	0.998744	0	nan
gonl-199b	high_rHetHom	19	13	0.999517	0	nan
gonl-200b	high_rHetHom	16.7	3.375	0.999421	0	nan
gonl-201b	low_cov	10.6	0.111111	0.998213	0	nan
gonl-202b	high_rHetHom	15.6	4.66667	0.99901	1	nan
gonl-203b	low_cov;high_rHetHom	10.8	3.33333	0.99831	0	nan
gonl-204b	low_cov	14	0.090909	0.999203	0	nan
gonl-205b	high_rHetHom	16.8	10.5	0.999058	0	nan
gonl-206b	low_cov	10.4	0.333333	0.998141	0	nan
gonl-207b	low_cov;high_rHetHom	12.3	3.33333	0.998672	0	nan
gonl-208b	low_cov	13.1	NA	0.998889	0	nan
gonl-209b	low_cov	10.1	NA	0.99802	0	nan
gonl-210b	low_cov	10.4	0	0.998237	0	nan
gonl-211b	low_cov	12.4	1.75	0.9986	0	nan
gonl-212b	low_cov	13.5	3.25	0.99901	0	nan
gonl-213b	low_cov	13.5	3.25	0.999058	0	nan
gonl-214b	low_cov;high_rHetHom	13.9	9	0.999155	0	nan
gonl-216b	low_cov	11	0	0.998431	0	nan
gonl-217b	low_cov	13.5	1.6	0.998889	0	nan
gonl-218b	low_cov	10.4	3	0.998141	0	nan
gonl-219b	low_cov	10.5	1.75	0.998141	0	nan
gonl-221b	low_cov	11.4	0.333333	0.998648	0	nan
gonl-222b	low_cov	12.4	NA	0.998527	0	nan
gonl-224b	low_cov;high_rHetHom	12.9	8.5	0.998913	0	nan
gonl-225b	low_cov	13.5	NA	0.998865	0	nan
gonl-226b	low_cov;high_rHetHom	12.1	3.33333	0.9986	0	nan
gonl-227b	low_cov	9.6	NA	0.997996	0	nan
gonl-228b	low_cov	13.6	2.4	0.998841	0	nan
gonl-229b	high_rHetHom	16.5	8.75	0.999155	1	nan
gonl-230b	low_cov;high_rHetHom	11.4	3.66667	0.998262	0	nan
gonl-231b	low_cov	14.4	NA	0.999058	0	nan
gonl-232b	low_cov;high_rHetHom	12.4	7.5	0.998431	0	nan
gonl-234b	low_cov	13.6	0.111111	0.998986	0	nan
gonl-235b	low_cov	14.3	2.33333	0.999179	0	nan
gonl-236b	low_cov	12	2	0.998793	0	nan
gonl-237b	low_cov	12	0	0.998358	0	nan
gonl-239b	low_cov	13.3	NA	0.998865	0	nan
gonl-240b	low_cov;high_rHetHom	13.6	6.33333	0.999058	0	nan
gonl-241b	low_cov;high_rHetHom	12	5.5	0.998624	0	nan
gonl-243b	low_cov;high_rHetHom	11.9	3.5	0.998455	0	nan
gonl-244b	low_cov;high_rHetHom	11.8	5.5	0.998696	0	nan
gonl-245b	low_cov	10.8	NA	0.998237	0	nan
gonl-247b	low_cov	13.9	0.111111	0.999058	0	nan
gonl-249b	low_cov;high_rHetHom	13	5.4	0.998986	0	nan
gonl-250b	low_cov	10.7	0	0.998575	0	nan
