# SN, Summary numbers:
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	248
SN	0	number of records:	167
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	167
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	0
SN	0	number of multiallelic SNP sites:	0
# PSC	[2]id	[3]sample	[4]nRefHom	[5]nNonRefHom	[6]nHets	[7]nTransitions	[8]nTransversions	[9]nIndels	[10]average depth	[11]nSingletons	[12]nHapRef	[13]nHapAlt	[14]nMissing	[15] rHetHom	[16] CallRate
PSC	0	gonl-63b	99	7	15	16	6	0	13.8	1	0	0	46	2.142857	0.998889
PSC	0	gonl-64b	105	9	14	17	6	0	13.9	0	0	0	39	1.555556	0.999058
PSC	0	gonl-65b	86	0	14	9	5	0	10.9	0	0	0	67	NA	0.998382
PSC	0	gonl-66b	97	7	3	8	2	0	11.6	0	0	0	60	0.428571	0.998551
PSC	0	gonl-67b	94	0	6	4	2	0	11.0	1	0	0	67	NA	0.998382
PSC	0	gonl-68b	102	5	12	12	5	0	13.1	0	0	0	48	2.400000	0.998841
PSC	0	gonl-69b	102	11	3	10	4	0	12.1	0	0	0	51	0.272727	0.998769
PSC	0	gonl-70b	91	6	22	21	7	0	13.8	0	0	0	48	3.666667	0.998841
PSC	0	gonl-71b	113	4	10	11	3	0	13.7	0	0	0	40	2.500000	0.999034
PSC	0	gonl-72b	77	4	23	19	8	0	13.2	0	0	0	63	5.750000	0.998479
PSC	0	gonl-73b	96	5	28	21	12	0	17.9	0	0	0	38	5.600000	0.999082
PSC	0	gonl-74b	117	1	6	5	2	0	13.0	0	0	0	43	6.000000	0.998962
PSC	0	gonl-75b	120	6	13	14	5	0	16.1	0	0	0	28	2.166667	0.999324
PSC	0	gonl-76b	112	0	11	8	3	0	12.3	0	0	0	44	NA	0.998938
PSC	0	gonl-77b	115	9	19	21	7	0	20.3	0	0	0	24	2.111111	0.999421
PSC	0	gonl-78b	109	2	23	16	9	0	17.3	0	0	0	33	11.500000	0.999203
PSC	0	gonl-79b	94	4	26	21	9	0	15.2	0	0	0	43	6.500000	0.998962
PSC	0	gonl-80b	75	4	30	23	11	0	12.1	1	0	0	58	7.500000	0.998600
PSC	0	gonl-81b	124	1	9	8	2	0	15.6	1	0	0	33	9.000000	0.999203
PSC	0	gonl-82b	97	1	26	17	10	0	16.3	0	0	0	43	26.000000	0.998962
PSC	0	gonl-83b	114	10	18	17	11	0	17.4	0	0	0	25	1.800000	0.999396
PSC	0	gonl-84b	102	0	27	18	9	0	15.9	0	0	0	38	NA	0.999082
PSC	0	gonl-85b	107	4	15	13	6	0	13.4	0	0	0	41	3.750000	0.999010
PSC	0	gonl-86b	113	0	14	8	6	0	14.9	0	0	0	40	NA	0.999034
PSC	0	gonl-87b	112	7	8	10	5	0	16.4	0	0	0	40	1.142857	0.999034
PSC	0	gonl-88b	105	0	11	9	2	0	14.3	0	0	0	51	NA	0.998769
PSC	0	gonl-89b	106	8	22	21	9	0	17.3	0	0	0	31	2.750000	0.999251
PSC	0	gonl-90b	116	0	10	6	4	0	13.2	0	0	0	41	NA	0.999010
PSC	0	gonl-91b	107	6	14	14	6	0	15.0	0	0	0	40	2.333333	0.999034
PSC	0	gonl-92b	95	4	7	9	2	0	11.0	0	0	0	61	1.750000	0.998527
PSC	0	gonl-93b	118	11	2	10	3	0	13.8	0	0	0	36	0.181818	0.999131
PSC	0	gonl-94b	81	5	1	5	1	0	10.1	0	0	0	80	0.200000	0.998068
PSC	0	gonl-95b	106	8	29	23	14	0	17.6	0	0	0	24	3.625000	0.999421
PSC	0	gonl-96b	105	12	16	17	11	0	16.1	2	0	0	34	1.333333	0.999179
PSC	0	gonl-97b	114	7	0	6	1	0	12.5	0	0	0	46	0.000000	0.998889
PSC	0	gonl-98b	101	5	12	13	4	0	12.0	0	0	0	49	2.400000	0.998817
PSC	0	gonl-99b	130	0	0	0	0	0	13.9	0	0	0	37	NA	0.999107
PSC	0	gonl-100b	115	10	3	11	2	0	14.7	1	0	0	39	0.300000	0.999058
PSC	0	gonl-101b	94	2	9	8	3	0	12.0	0	0	0	62	4.500000	0.998503
PSC	0	gonl-102b	81	3	10	10	3	0	10.7	0	0	0	73	3.333333	0.998237
PSC	0	gonl-103b	89	8	13	14	7	0	13.3	0	0	0	57	1.625000	0.998624
PSC	0	gonl-104b	112	5	14	12	7	0	14.0	0	0	0	36	2.800000	0.999131
PSC	0	gonl-105b	106	5	0	4	1	0	12.5	0	0	0	56	0.000000	0.998648
PSC	0	gonl-106b	107	10	1	8	3	0	12.5	1	0	0	49	0.100000	0.998817
PSC	0	gonl-107b	121	10	2	9	3	0	15.2	0	0	0	34	0.200000	0.999179
PSC	0	gonl-108b	107	10	0	6	4	0	12.5	0	0	0	50	0.000000	0.998793
PSC	0	gonl-109b	117	4	21	15	10	0	15.2	1	0	0	25	5.250000	0.999396
PSC	0	gonl-110b	109	0	17	10	7	0	14.3	0	0	0	41	NA	0.999010
PSC	0	gonl-111b	120	2	13	11	4	0	14.7	0	0	0	32	6.500000	0.999227
PSC	0	gonl-112b	111	6	1	5	2	0	12.8	0	0	0	49	0.166667	0.998817
PSC	0	gonl-113b	121	5	12	12	5	0	14.3	0	0	0	29	2.400000	0.999300
PSC	0	gonl-114b	136	0	10	8	2	0	22.0	1	0	0	21	NA	0.999493
PSC	0	gonl-115b	90	0	6	5	1	0	10.5	0	0	0	71	NA	0.998286
PSC	0	gonl-116b	96	3	16	12	7	0	12.1	0	0	0	52	5.333333	0.998744
PSC	0	gonl-117b	111	0	14	11	3	0	14.1	0	0	0	42	NA	0.998986
PSC	0	gonl-118b	84	0	4	3	1	0	11.0	0	0	0	79	NA	0.998093
PSC	0	gonl-119b	104	9	3	9	3	0	11.9	0	0	0	51	0.333333	0.998769
PSC	0	gonl-120b	102	7	12	12	7	0	13.8	0	0	0	46	1.714286	0.998889
PSC	0	gonl-121b	115	10	12	15	7	0	16.4	0	0	0	30	1.200000	0.999276
PSC	0	gonl-122b	94	4	26	20	10	0	13.9	0	0	0	43	6.500000	0.998962
PSC	0	gonl-123b	86	2	11	8	5	0	11.2	0	0	0	68	5.500000	0.998358
PSC	0	gonl-124b	132	0	11	9	2	0	14.3	0	0	0	24	NA	0.999421
PSC	0	gonl-125b	108	5	13	12	6	0	13.5	0	0	0	41	2.600000	0.999010
PSC	0	gonl-126b	99	5	25	20	10	0	14.6	0	0	0	38	5.000000	0.999082
PSC	0	gonl-127b	98	0	10	5	5	0	12.0	0	0	0	59	NA	0.998575
PSC	0	gonl-128b	96	9	1	8	2	0	11.9	0	0	0	61	0.111111	0.998527
PSC	0	gonl-129b	110	2	10	9	3	0	13.3	0	0	0	45	5.000000	0.998913
PSC	0	gonl-130b	113	9	1	8	2	0	14.2	0	0	0	44	0.111111	0.998938
PSC	0	gonl-131b	90	4	11	11	4	0	13.0	0	0	0	62	2.750000	0.998503
PSC	0	gonl-132b	105	7	13	14	6	0	15.8	0	0	0	42	1.857143	0.998986
PSC	0	gonl-133b	133	6	12	12	6	0	20.4	0	0	0	16	2.000000	0.999614
PSC	0	gonl-134b	105	2	28	20	10	0	16.5	1	0	0	32	14.000000	0.999227
PSC	0	gonl-135b	109	0	27	16	11	0	16.3	0	0	0	31	NA	0.999251
PSC	0	gonl-136b	113	9	4	10	3	0	13.5	1	0	0	41	0.444444	0.999010
PSC	0	gonl-137b	115	8	1	8	1	0	13.8	0	0	0	43	0.125000	0.998962
PSC	0	gonl-138b	112	11	1	9	3	0	13.0	0	0	0	43	0.090909	0.998962
PSC	0	gonl-139b	83	2	12	10	4	0	11.0	0	0	0	70	6.000000	0.998310
PSC	0	gonl-140b	128	7	13	14	6	0	19.7	0	0	0	19	1.857143	0.999541
PSC	0	gonl-141b	93	6	32	25	13	0	15.4	0	0	0	36	5.333333	0.999131
PSC	0	gonl-142b	108	5	14	13	6	0	12.9	0	0	0	40	2.800000	0.999034
PSC	0	gonl-143b	125	9	0	8	1	0	14.7	0	0	0	33	0.000000	0.999203
PSC	0	gonl-144b	106	4	32	23	13	0	17.6	0	0	0	25	8.000000	0.999396
PSC	0	gonl-145b	87	0	14	9	5	0	11.8	1	0	0	66	NA	0.998406
PSC	0	gonl-146b	119	7	2	7	2	0	13.8	0	0	0	39	0.285714	0.999058
PSC	0	gonl-147b	86	6	11	11	6	0	12.2	1	0	0	64	1.833333	0.998455
PSC	0	gonl-148b	79	0	4	2	2	0	10.1	0	0	0	84	NA	0.997972
PSC	0	gonl-149b	118	4	14	13	5	0	14.4	0	0	0	31	3.500000	0.999251
PSC	0	gonl-150b	94	4	27	22	9	0	15.1	1	0	0	42	6.750000	0.998986
PSC	0	gonl-151b	88	0	10	4	6	0	11.9	0	0	0	69	NA	0.998334
PSC	0	gonl-152b	78	5	9	8	6	0	11.4	0	0	0	75	1.800000	0.998189
PSC	0	gonl-153b	109	0	9	8	1	0	12.8	0	0	0	49	NA	0.998817
PSC	0	gonl-154b	101	4	16	13	7	0	12.6	0	0	0	46	4.000000	0.998889
PSC	0	gonl-155b	112	5	16	15	6	0	14.2	0	0	0	34	3.200000	0.999179
PSC	0	gonl-156b	98	3	27	22	8	0	16.5	0	0	0	39	9.000000	0.999058
PSC	0	gonl-157b	119	8	3	8	3	0	14.5	0	0	0	37	0.375000	0.999107
PSC	0	gonl-158b	92	0	12	9	3	0	11.6	0	0	0	63	NA	0.998479
PSC	0	gonl-159b	119	0	14	9	5	0	15.5	1	0	0	34	NA	0.999179
PSC	0	gonl-160b	108	0	9	7	2	0	11.9	0	0	0	50	NA	0.998793
PSC	0	gonl-161b	107	5	24	20	9	0	17.7	0	0	0	31	4.800000	0.999251
PSC	0	gonl-162b	110	7	0	6	1	0	12.2	0	0	0	50	0.000000	0.998793
PSC	0	gonl-163b	96	12	17	22	7	0	13.9	0	0	0	42	1.416667	0.998986
PSC	0	gonl-164b	92	2	29	21	10	0	14.0	0	0	0	44	14.500000	0.998938
PSC	0	gonl-165b	120	0	9	7	2	0	14.0	0	0	0	38	NA	0.999082
PSC	0	gonl-166b	100	4	12	12	4	0	12.6	0	0	0	51	3.000000	0.998769
PSC	0	gonl-167b	101	3	19	11	11	0	12.9	0	0	0	44	6.333333	0.998938
PSC	0	gonl-168b	103	0	8	7	1	0	12.0	0	0	0	56	NA	0.998648
PSC	0	gonl-169b	90	3	13	9	7	0	14.2	0	0	0	61	4.333333	0.998527
PSC	0	gonl-170b	100	4	30	24	10	0	16.7	1	0	0	33	7.500000	0.999203
PSC	0	gonl-171b	104	0	0	0	0	0	11.7	0	0	0	63	NA	0.998479
PSC	0	gonl-172b	106	4	30	22	12	0	19.9	0	0	0	27	7.500000	0.999348
PSC	0	gonl-173b	99	9	0	8	1	0	11.6	0	0	0	59	0.000000	0.998575
PSC	0	gonl-174b	101	4	25	20	9	0	15.6	0	0	0	37	6.250000	0.999107
PSC	0	gonl-175b	109	0	6	4	2	0	13.2	0	0	0	52	NA	0.998744
PSC	0	gonl-176b	88	3	23	16	10	0	13.3	0	0	0	53	7.666667	0.998720
PSC	0	gonl-177b	81	5	12	12	5	0	11.6	0	0	0	69	2.400000	0.998334
PSC	0	gonl-178b	105	0	11	8	3	0	12.0	0	0	0	51	NA	0.998769
PSC	0	gonl-179b	106	4	26	21	9	0	16.3	0	0	0	31	6.500000	0.999251
PSC	0	gonl-180b	92	4	23	18	9	0	15.1	0	0	0	48	5.750000	0.998841
PSC	0	gonl-181b	107	2	16	11	7	0	15.2	0	0	0	42	8.000000	0.998986
PSC	0	gonl-182b	117	5	12	12	5	0	17.8	0	0	0	33	2.400000	0.999203
PSC	0	gonl-183b	114	0	14	10	4	0	13.7	0	0	0	39	NA	0.999058
PSC	0	gonl-184b	100	5	29	23	11	0	16.0	0	0	0	33	5.800000	0.999203
PSC	0	gonl-185b	108	9	12	14	7	0	15.0	0	0	0	38	1.333333	0.999082
PSC	0	gonl-186b	103	5	11	10	6	0	13.9	0	0	0	48	2.200000	0.998841
PSC	0	gonl-187b	124	2	15	11	6	0	15.5	0	0	0	26	7.500000	0.999372
PSC	0	gonl-188b	82	3	23	22	4	0	11.9	0	0	0	59	7.666667	0.998575
PSC	0	gonl-189b	101	7	25	24	8	0	15.3	0	0	0	34	3.571429	0.999179
PSC	0	gonl-190b	114	6	12	11	7	0	16.1	0	0	0	35	2.000000	0.999155
PSC	0	gonl-191b	103	0	12	8	4	0	12.7	1	0	0	52	NA	0.998744
PSC	0	gonl-192b	110	10	1	9	2	0	13.5	0	0	0	46	0.100000	0.998889
PSC	0	gonl-193b	96	3	17	14	6	0	12.2	1	0	0	51	5.666667	0.998769
